SR FASHION
List of Items
Name,Print Name,Alias,MRP,Parent Group,Sale Price,Op. Stock,Unit,Purchase Price
"1 ABHIVADAN MAUJ MASTI",LACHA,000152,,LACHA,"2,220.00",,APcs.,"1,779.75"
"1 ABHIVADAN VERANI",LACHA,000164,,LACHA,"8,550.00",,APcs.,"6,838.10"
"1 EID SPECIAL",PLAZO,000590,,PLAZO,"1,790.00",,APcs.,"1,430.00"
"1 GC KITKAT",PEPLUM,000140,,General,"3,060.00",-3.00,APcs.,"2,450.00"
"1 GF JAYMALA",Suit,000128,,General,"1,370.00",-8.00,APcs.,"1,100.00"
"1 INNAYA NOODLE",Cotton Suit,000249,,COTTON SUIT,510.00,-2.00,APcs.,409.00
"1 INNAYA ROSE GOLD",Cotton Suit,000227,,COTTON SUIT,810.00,-2.00,APcs.,645.00
"1 INNAYA SIMBA",Cotton Suit,000169,,COTTON SUIT,710.00,-1.00,APcs.,570.00
"1 KC ISHQ LIBAAS FENDI",PLAZO,000294,,PLAZO,"2,370.00",-4.00,APcs.,"1,900.00"
"1 KC SHAHI PASAND  CRUNCHY PLAZO SHADED",PLAZO,000317,,PLAZO,"2,440.00",-5.00,APcs.,"1,950.00"
"1 KC STYLEZA",PLAZO,000349,,PLAZO,"3,110.00",-2.00,APcs.,"2,490.00"
"1 RS HEAVY BO NEW",SUIT,000058,,SUIT,"1,412.50",-1.00,APcs.,"1,130.00"
"1 SONY HARI 51 PURSE",PLAZO,000332,,PLAZO,"2,490.00",-4.00,APcs.,"1,995.00"
"10 GF RESHAM 3",Suit,000129,,General,840.00,-3.00,APcs.,675.00
"10 GHAZAL SG",SUIT,000333,,SUIT,750.00,,APcs.,600.00
"10 INNAYA HUNDRED PIPE",Cotton Suit,000250,,COTTON SUIT,"1,240.00",,APcs.,990.00
"10 INNAYA JELLY",Cotton Suit,000170,,COTTON SUIT,620.00,,APcs.,495.00
"10 INNAYA OUTPUT",Cotton Suit,000228,,COTTON SUIT,600.00,,APcs.,484.00
"10 KC BERRY FIZZ",PLAZO,000591,,PLAZO,"2,030.00",,APcs.,"1,625.00"
"10 KC CHILL BERYY  FLUTE SUIT",SUIT,000295,,SUIT,"1,670.00",-2.00,APcs.,"1,340.00"
"10 KC STREET FOOD",SUIT,000318,,SUIT,840.00,-1.00,APcs.,675.00
"10 MOH MAYA",PLAZO,000445,,PLAZO,"1,790.00",-3.00,APcs.,"1,430.00"
"10 RS  NEW ZARI",SUIT,000059,,SUIT,"1,380.00",-1.00,APcs.,"1,100.00"
"11 INNAYA COCOCOLA",Cotton Suit,000251,,COTTON SUIT,670.00,-4.00,APcs.,536.00
"11 INNAYA CYCLONE",Cotton Suit,000171,,COTTON SUIT,620.00,,APcs.,495.00
"11 INNAYA MUSCUT",Cotton Suit,000229,,COTTON SUIT,"1,320.00",,APcs.,"1,053.00"
"11 KC BAARISH BEATS  CRUNCHY",SUIT,000319,,SUIT,"1,030.00",,APcs.,825.00
"11 KC OPEN SKY  FLUTE SUIT",SUIT,000296,,SUIT,"2,070.00",-3.00,APcs.,"1,655.00"
"11 KC ZANZAR QUEEN",PLAZO,000592,,PLAZO,"2,030.00",-1.00,APcs.,"1,625.00"
"11 KKC APSARA",Catalogue,000334,,Catlogue Suit,310.00,-2.00,APcs.,245.00
"11 MSM LUNA",Suit,000130,,General,840.00,-8.00,APcs.,675.00
"11 RANGEELA",PLAZO,000446,,PLAZO,"1,770.00",-8.00,APcs.,"1,420.00"
"11 RS CHANDNIYA",SUIT,000060,,SUIT,"1,780.00",-3.00,APcs.,"1,425.00"
"12 1178 JIMMY",PLAZO,000335,,PLAZO,"1,160.00",-2.00,APcs.,925.00
"12 INNAYA COCOCOLA",Cotton Suit,000230,,COTTON SUIT,670.00,-2.00,APcs.,536.00
"12 INNAYA SOLID",Cotton Suit,000172,,COTTON SUIT,630.00,-1.00,APcs.,505.00
"12 INNAYA SUPRIYA",Cotton Suit,000252,,COTTON SUIT,"1,530.00",-3.00,APcs.,"1,225.00"
"12 KC CHILLY WILLY  SUIT",SUIT,000297,,SUIT,"2,070.00",-4.00,APcs.,"1,655.00"
"12 KC MASALEDAR MASTI",SUIT,000593,,SUIT,"1,570.00",-2.00,APcs.,"1,260.00"
"12 KC RAIN DANCE SUITE",SUIT,000320,,SUIT,"1,030.00",,APcs.,825.00
"12 MOH MAYA DARK",PLAZO,000447,,PLAZO,"1,690.00",,APcs.,"1,350.00"
"12 MSM DUSTER",Suit,000131,,General,"1,780.00",-8.00,APcs.,"1,425.00"
"12 NC MOSS",SUIT',000061,,SUIT,"1,780.00",-1.00,APcs.,"1,425.00"
"13 INNAYA DESTINY",Cotton Suit,000253,,COTTON SUIT,"1,070.00",,APcs.,860.00
"13 INNAYA GOLD STAR",Cotton Suit,000173,,COTTON SUIT,"1,010.00",,APcs.,805.00
"13 INNAYA SOLID",Cotton Suit,000231,,COTTON SUIT,630.00,-1.00,APcs.,505.00
"13 KC CRAZY PAL  FLUTE  SUIT",SUIT,000298,,SUIT,"1,910.00",-4.00,APcs.,"1,525.00"
"13 KC ROAD TRIP  STAR JORJET  PLAZO SHAD",PLAZO,000321,,PLAZO,"2,640.00",-6.00,APcs.,"2,110.00"
"13 KC SPICE CROWN",SUIT,000594,,SUIT,"1,740.00",-4.00,APcs.,"1,390.00"
"13 RS FLUTE TOM TO TON",SUIT,000062,,SUIT,"1,650.00",-1.00,APcs.,"1,315.00"
"13 SSM READYMADE",PLAZO,000448,,PLAZO,"1,500.00",-3.00,APcs.,"1,085.00"
"14 GOLDEN MEMORY",PLAZO,000595,,PLAZO,"2,490.00",-2.00,APcs.,"1,995.00"
"14 INNAYA COCACOLA",Cotton Suit,000232,,COTTON SUIT,670.00,,APcs.,536.00
"14 INNAYA GARMAGARAM",Cotton Suit,000254,,COTTON SUIT,"1,440.00",-2.00,APcs.,"1,150.00"
"14 INNAYA NUDDLE",Cotton Suit,000174,,COTTON SUIT,510.00,-2.00,APcs.,409.00
"14 KC CRUNCHY BULBUL MAGIC",SUIT,000299,,SUIT,"1,160.00",-3.00,APcs.,925.00
"14 RS FLUTE DESIGN DN",SUIT,000063,,SUIT,"1,680.00",-3.00,APcs.,"1,345.00"
"15 INNAYA GOOSEBERRY",Cotton Suit,000233,,COTTON SUIT,"1,160.00",-2.00,APcs.,925.00
"15 INNAYA OUTPUT",Cotton Suit,000175,,COTTON SUIT,600.00,,APcs.,484.00
"15 INNAYA PREMIERE",Cotton Suit,000255,,COTTON SUIT,"1,450.00",-1.00,APcs.,"1,160.00"
"15 KC SWEET SPARROW 4 CRUCNHY",SUIT,000300,,SUIT,"1,160.00",-2.00,APcs.,925.00
"15 RS FLUTE NECK NEW",SUIT,000064,,SUIT,"1,680.00",-3.00,APcs.,"1,345.00"
"16 INNAYA BLACK BIRD",Cotton Suit,000256,,COTTON SUIT,"1,590.00",-2.00,APcs.,"1,270.00"
"16 INNAYA HOTKIT",Cotton Suit,000176,,COTTON SUIT,560.00,-2.00,APcs.,452.00
"16 INNAYA STAR 2.5 MTR",Cotton Suit,000234,,COTTON SUIT,540.00,-5.00,APcs.,429.00
"16 KC RANG SATRANGI  SUIT JORJET",SUIT,000301,,SUIT,"1,030.00",-7.00,APcs.,825.00
"16 SHREE GANESH",COTTON SUIT,000597,,COTTON SUIT,360.00,-20.00,APcs.,335.00
"17 INNAYA CAP LOCK",Cotton Suit,000235,,COTTON SUIT,"1,640.00",,APcs.,"1,311.00"
"17 INNAYA DUBAI",Cotton Suit,000177,,COTTON SUIT,"1,850.00",-10.00,APcs.,"1,483.00"
"17 INNAYA LAND ROVER",Cotton Suit,000257,,COTTON SUIT,"1,450.00",,APcs.,"1,160.00"
"17 KC BAKED COOKIES  SUIT",SUIT,000302,,SUIT,"1,160.00",-3.00,APcs.,925.00
"17 ROZY KALA CHASHMA",COTTON SUIT,000598,,COTTON SUIT,350.00,-6.00,APcs.,305.00
